Emin,left_edge_weight,right_edge_weight,edge_overlap,ipr,xi_loc,realization
2.9357978287596063e-16,0.986982005965543,1.7595671443184526e-43,3.5191342886369052e-43,0.4334144175268368,1.955551691217749,0
2.9357978287596063e-16,0.986982005965543,1.7595671443184526e-43,3.5191342886369052e-43,0.4334144175268368,1.955551691217749,1
2.9357978287596063e-16,0.986982005965543,1.7595671443184526e-43,3.5191342886369052e-43,0.4334144175268368,1.955551691217749,2
2.9357978287596063e-16,0.986982005965543,1.7595671443184526e-43,3.5191342886369052e-43,0.4334144175268368,1.955551691217749,3
2.9357978287596063e-16,0.986982005965543,1.7595671443184526e-43,3.5191342886369052e-43,0.4334144175268368,1.955551691217749,4
2.9357978287596063e-16,0.986982005965543,1.7595671443184526e-43,3.5191342886369052e-43,0.4334144175268368,1.955551691217749,5
2.9357978287596063e-16,0.986982005965543,1.7595671443184526e-43,3.5191342886369052e-43,0.4334144175268368,1.955551691217749,6
2.9357978287596063e-16,0.986982005965543,1.7595671443184526e-43,3.5191342886369052e-43,0.4334144175268368,1.955551691217749,7
2.9357978287596063e-16,0.986982005965543,1.7595671443184526e-43,3.5191342886369052e-43,0.4334144175268368,1.955551691217749,8
2.9357978287596063e-16,0.986982005965543,1.7595671443184526e-43,3.5191342886369052e-43,0.4334144175268368,1.955551691217749,9
2.9357978287596063e-16,0.986982005965543,1.7595671443184526e-43,3.5191342886369052e-43,0.4334144175268368,1.955551691217749,10
2.9357978287596063e-16,0.986982005965543,1.7595671443184526e-43,3.5191342886369052e-43,0.4334144175268368,1.955551691217749,11
2.9357978287596063e-16,0.986982005965543,1.7595671443184526e-43,3.5191342886369052e-43,0.4334144175268368,1.955551691217749,12
2.9357978287596063e-16,0.986982005965543,1.7595671443184526e-43,3.5191342886369052e-43,0.4334144175268368,1.955551691217749,13
2.9357978287596063e-16,0.986982005965543,1.7595671443184526e-43,3.5191342886369052e-43,0.4334144175268368,1.955551691217749,14
2.9357978287596063e-16,0.986982005965543,1.7595671443184526e-43,3.5191342886369052e-43,0.4334144175268368,1.955551691217749,15
2.9357978287596063e-16,0.986982005965543,1.7595671443184526e-43,3.5191342886369052e-43,0.4334144175268368,1.955551691217749,16
2.9357978287596063e-16,0.986982005965543,1.7595671443184526e-43,3.5191342886369052e-43,0.4334144175268368,1.955551691217749,17
2.9357978287596063e-16,0.986982005965543,1.7595671443184526e-43,3.5191342886369052e-43,0.4334144175268368,1.955551691217749,18
2.9357978287596063e-16,0.986982005965543,1.7595671443184526e-43,3.5191342886369052e-43,0.4334144175268368,1.955551691217749,19
2.9357978287596063e-16,0.986982005965543,1.7595671443184526e-43,3.5191342886369052e-43,0.4334144175268368,1.955551691217749,20
